Player,School,Height,Weight,Hand,Arm,Wing,Pos
Zyon McCollum,Sam Houston State,74.125,199,9,30.75,73.75,CB
Roger McCreary,Auburn,71.375,190,9,28.875,70.625,CB
Trent McDuffie,Washington,70.75,193,8.75,29.75,72.375,CB
Chris Steele,USC,72.375,187,8.75,31.125,74.75,CB
Derek Stingley Jr.,LSU,72.25,190,9.625,30.625,74.125,CB
Alontae Taylor,Tennessee,72.125,199,9.125,32.25,74.75,CB
Cam Taylor-Britt,Nebraska,70.625,196,10,31.5,75,CB
Isaac Taylor-Stuart,USC,73.5,201,9,31.5,77.25,CB
Josh Thompson,Texas,71.5,194,9.375,30.875,74.875,CB
Jermaine Waller,Virginia Tech,72.125,180,9,31.125,73.75,CB
Jaylen Watson,Washington State,74,197,9.625,32.25,76.5,CB
Sam Webb,Missouri Western State,72.5,202,9.25,32.125,78,CB
Damarion Williams,Houston,70.25,182,8.75,29.625,72.625,CB
Joshua Williams,Fayetteville State,74.875,195,9.5,32.875,78.625,CB
Tariq Woolen,UTSA,76.125,205,9.125,33.625,78.625,CB
Mykael Wright,Oregon,70.5,173,9,30.5,74.75,CB
Tycen Anderson,Toledo,73.875,209,10.125,33,78.875,S
Markquese Bell,Florida A&M,74.125,212,9.375,32.375,76.125,S
Dane Belton,Iowa,72.625,205,9.125,31,75.625,S
Bubba Bolden,Miami,74.125,209,9,31.375,76.875,S
Jaquan Brisker,Penn State,73.375,199,9.875,31.75,76,S
Percy Butler,Louisiana,72.125,194,9.125,31.625,76.625,S
Lewis Cine,Georgia,74.25,199,9.375,32.25,78,S
Qwynnterrio Cole,Louisville,72.125,206,10.375,31.875,76.75,S
Bryan Cook,Cincinnati,72.75,206,8.5,31.875,78,S
Yusuf Corker,Kentucky,72,203,9,31,74.875,S
Nick Cross,Maryland,72.125,212,9,31.5,76,S
Kyle Hamilton,Notre Dame,76.125,220,9.125,33,79.75,S
Kolby Harvell-Peel,Oklahoma State,71.625,213,9.75,31.125,75.125,S
Daxton Hill,Michigan,72.25,191,9.5,32.25,79.25,S
Kerby Joseph,Illinois,73,203,10.25,33,79.5,S
Quentin Lake,UCLA,73.375,201,9.125,31.25,76.25,S
Verone McKinley III,Oregon,70,198,9.125,30.625,72.75,S
Smoke Monday,Auburn,73.75,207,9.125,32.5,78.75,S
Leon O'Neal Jr.,Texas A&M,72.5,204,10.25,31.625,76.625,S
Jalen Pitre,Baylor,71,198,9,30.625,73.5,S
Juanyeh Thomas,Georgia Tech,72.75,212,9.75,32.375,78.125,S
Delarrin Turner-Yell,Oklahoma,70.25,197,10,31.75,76.25,S
JT Woods,Baylor,74.125,195,8.5,32.375,77.375,S
Sam Hartman,Notre Dame,73.125,211,9.75,31.375,75.25,QB
Devin Leary,Kentucky,73.25,215,9.5,30.875,74.375,QB
