#,Name,Height,Weight,Arm,Hand,Vertical,Broad,Position_Group
"Wyatt, Devonte",6027,304,32 5/8,9 7/8,29.0,"9'3""",DL,NA
"Barno, Amaré",6045,246,34,9,37.0,"10'11""",DL,NA
"Booker, Thomas",6033,301,33 1/4,10 5/8,NA,"9'2""",DL,NA
"Clemons, Micheal",6052,263,34 7/8,10,24.0,"9'8""",DL,NA
"Ebiketie, Arnold",6023,250,34 1/8,10 1/4,38.0,"10'8""",DL,NA
"Enagbare, Kingsley",6036,258,34 3/4,10 5/8,36.5,"9'9""",DL,NA
"Gunter, Jeffrey",6043,258,33,9 1/4,35.5,"10'2""",DL,NA
"Hutchinson, Aidan",6065,260,32 1/8,10 1/4,36.0,"9'9""",DL,NA
"Johnson, Tyree",6024,248,30 7/8,9 3/4,NA,NA,DL,NA
"Karlaftis, George",6036,266,32 5/8,10 1/4,38.0,"10'1""",DL,NA
"Luketa, Jesse",6027,253,32 5/8,10 3/8,37.5,"9'6""",DL,NA
"Malone, DeAngelo",6032,243,33 1/8,9 7/8,NA,NA,DL,NA
"Ojabo, David",6040,250,33 1/2,9,35.0,"10'2""",DL,NA
"Otomewo, Esezi",6052,282,34 1/2,9,NA,NA,DL,NA
"Paschal, Joshua",6025,268,32 3/4,9 5/8,37.5,"10'3""",DL,NA
"Ray, LaBryan",6042,283,32 5/8,8 1/2,NA,NA,DL,NA
"Robinson, Dominique",6047,253,33 1/4,9 3/4,41.0,"10'1""",DL,NA
"Sanders, Myjai",6052,228,32 5/8,9 1/4,33.0,"10'0""",DL,NA
"Smith, Tyreke",6033,254,33 1/4,10 1/4,34.0,"9'9""",DL,NA
"Tagovailoa-Amosa, Myron",6022,270,32 5/8,9 5/8,29.0,"9'7""",DL,NA
"Thibodeaux, Kayvon",6040,254,33 1/8,9 3/4,NA,NA,DL,NA
"Thomas, Cameron",6041,267,32 1/2,10 1/4,NA,NA,DL,NA
"Thomas, Isaiah",6047,266,33 1/4,10 1/4,31.5,"9'9""",DL,NA
"Walker, Travon",6050,272,35 1/2,10 3/4,35.5,"10'3""",DL,NA
"Williams, Sam",6035,261,33 1/8,9 7/8,32.5,"10'3""",DL,NA
"Wright, Alex",6051,271,34,9 1/4,NA,NA,DL,NA
"Allen, Christopher",6034,241,33,10,NA,NA,LB,NA
"Andersen, Troy",6034,243,32 1/8,9 1/4,36.0,"10'8""",LB,NA
"Asamoah, Brian",6002,226,32 5/8,10,36.5,"10'4""",LB,NA
"Beavers, Darrian",6036,237,32 3/8,9 3/4,36.5,"10'5""",LB,NA
"Bernard, Terrel",6007,224,30 1/4,9 5/8,35.5,"10'3""",LB,NA
"Butler, Darien",5101,221,30 1/8,9 3/8,NA,NA,LB,NA
"Campbell, Chance",6023,232,31 1/4,10 1/8,39.5,"10'7""",LB,NA
"Chenal, Leo",6025,250,31,9 3/4,40.5,"10'8""",LB,NA
"Clark, Damone",6024,239,33,9 3/4,36.5,"10'7""",LB,NA
"Dean, Nakobe",5112,229,31 7/8,9 1/8,NA,NA,LB,NA
"Domann, JoJo",6012,228,30 3/8,9 1/2,34.5,"9'11""",LB,NA
"Gemmel, Jeremiah",6006,226,31 3/4,9 1/4,NA,NA,LB,NA
"Graham-Mobley, Isaiah",6010,230,32,9 1/4,34.5,"10'4""",LB,NA
"Hansen, Jake",6007,238,32 3/8,9 3/4,NA,NA,LB,NA
"Hansford, Aaron",6022,239,32 3/8,10 1/8,NA,NA,LB,NA
"Harris, Christian",6004,226,32 1/8,9 5/8,34.5,"11'0""",LB,NA
"Jackson, D’Marco",6006,233,32 1/2,9 1/4,33.0,"10'5""",LB,NA
"Jackson, Drake",6025,254,34,10 1/8,36.5,"10'7""",LB,NA
"Johnson II, Jermaine",6045,254,34,9 7/8,32.0,"10'5""",LB,NA
"Landman, Nate",6024,238,30 1/2,9 3/8,36.5,"9'11""",LB,NA
"Lloyd, Devin",6026,237,33,9 1/2,35.0,"10'6""",LB,NA
"Mafe, Boye",6036,261,32 5/8,9 7/8,38.0,"10'5""",LB,NA
"McClain, Zakoby",5114,228,31 3/4,9 1/4,33.0,"9'9""",LB,NA
"McFadden, Micah",6010,240,31 1/4,9 1/2,NA,NA,LB,NA
"Moon, Jeremiah",6046,249,35,10 1/8,40.5,"11'1""",LB,NA
"Muma, Chad",6030,239,31 5/8,10,40.0,"10'9""",LB,NA
"Rodriguez, Malcolm",5110,232,30 1/8,9 5/8,39.5,"10'0""",LB,NA
"Rose, Mike",6040,245,33 1/4,10 1/8,34.0,"10'1""",LB,NA
"Ross, Josh",6003,227,30 1/2,9 3/4,31.0,"9'1""",LB,NA
"Sanborn, Jack",6015,234,30 1/2,9 5/8,34.5,"9'6""",LB,NA
"Sewell, Nephi",5114,226,29 3/8,8 1/2,32.0,"10'0""",LB,NA
"Smith, Brandon",6034,250,34 5/8,10 1/4,37.5,"10'8""",LB,NA
"Spector, Baylon",6011,233,31 1/2,10,36.0,"10'2""",LB,NA
"Tindall, Channing",6017,230,32 7/8,10 5/8,42.0,"10'9""",LB,NA
"Walker, Quay",6036,241,32 5/8,9 1/4,32.0,"10'2""",LB,NA
"Williams, Tre",6041,252,33 3/4,10,26.5,"8'8""",LB,NA
"Armour-Davis, Jalyn",6005,197,30 7/8,9 1/4,34.5,NA,DB,NA
"Barnes, Kalon",5114,183,31 3/4,9 7/8,NA,NA,DB,NA
"Booth, Andrew",6002,194,31 1/2,9 3/8,NA,NA,DB,NA
"Brown, Montaric",6003,196,31 1/4,9 1/2,NA,NA,DB,NA
"Bryant, Coby",6013,193,30 5/8,9 3/8,NA,NA,DB,NA
"Castro-Fields, Tariq",6005,197,30 3/4,8 3/4,NA,NA,DB,NA
"Durant, Cobie",5095,180,30 3/4,8 3/4,NA,NA,DB,NA
"Elam, Kaiir",6014,191,30 7/8,8 7/8,NA,NA,DB,NA
"Emerson, MJ",6015,201,33 1/2,10 1/8,NA,NA,DB,NA
"Evans, Akayleb",6020,197,32,8 3/4,36.0,"10'9""",DB,NA
"Fields, DaMarcus",5115,193,31 1/4,9 1/8,34.5,NA,DB,NA
"Flott, Cordale",6004,175,30 1/8,8,NA,NA,DB,NA
"Gardner, Sauce",6026,190,33 1/2,9 5/8,NA,NA,DB,NA
"Goodrich, Mario",6002,176,30 5/8,9 1/8,NA,NA,DB,NA
"Gordon, Kyler",5114,194,31,9 1/4,NA,NA,DB,NA
"Gray, Vincent",6022,192,32 3/8,9 1/4,NA,NA,DB,NA
"Jobe, Joshua",5114,182,32 5/8,9 1/4,NA,NA,DB,NA
"Jones, Jack",5106,171,30 3/4,8 7/8,NA,NA,DB,NA
"Jones, Marcus",5080,174,28 7/8,8 7/8,NA,NA,DB,NA
"Kendrick, Derion",5117,194,31,9 1/8,NA,NA,DB,NA
"Lucas, Chase",5112,180,31 7/8,9 1/4,39.0,"10'8""",DB,NA
"Mathis, Damarri",5110,196,31 7/8,8 1/4,NA,NA,DB,NA
"McCollum, Zyon",6021,199,30 3/4,9,39.5,"11'0""",DB,NA
"McCreary, Roger",5113,190,28 7/8,9,NA,NA,DB,NA
"McDuffie, Trent",5103,193,29 3/4,8 3/4,NA,NA,DB,NA
"Steele, Chris",6003,187,31 1/8,8 3/4,37.5,"10'6""",DB,NA
"Stingley Jr., Derek",6002,190,30 5/8,9 5/8,NA,NA,DB,NA
"Taylor, Alontae",6001,199,32 1/4,9 1/8,34.5,"10'8""",DB,NA
"Taylor-Britt, Cam",5105,196,31 1/2,10,NA,NA,DB,NA
"Taylor-Stuart, Isaac",6014,201,31 1/2,9,NA,"10'3""",DB,NA
"Thompson, Josh",5104,194,30 7/8,9 3/8,NA,NA,DB,NA
"Waller, Jermaine",6001,180,31 1/8,9,NA,NA,DB,NA
"Watson, Jaylen",6020,197,32 1/4,9 5/8,NA,NA,DB,NA
"Webb, Sam",6004,201*,32 1/8,9 1/4,NA,NA,DB,NA
"Williams, Joshua",6027,195,32 7/8,9 1/2,36.0,"10'4""",DB,NA
"Williams, Damarion",5102,182,29 5/8,8 3/4,34.5,"9'10""",DB,NA
"Woolen, Tariq",6041,205,33 5/8,9 1/8,42.0,NA,DB,NA
"Wright, Mykael",5104,173,30 1/2,9,NA,NA,DB,NA
"Anderson, Tycen",6017,209,33,10 1/8,35.5,"10'3""",DB,NA
"Bell, Markquese",6021,212,32 3/8,9 3/8,36.5,"10'3""",DB,NA
"Belton, Dane",6005,205,31,9 1/8,36.5,"10'3""",DB,NA
"Bolden, Bubba",6021,209,31 3/8,9,NA,"9'8""",DB,NA
"Brisker, Jaquan",6013,199,31 3/4,9 7/8,34.5,"10'4""",DB,NA
"Butler, Percy",6001,194,31 5/8,9 1/8,31.5,"10'3""",DB,NA
"Cine, Lewis",6022,199,32 1/4,9 3/8,36.5,"11'1""",DB,NA
"Cole, Qwynnterrio",5117,206,31 7/8,10 3/8,NA,NA,DB,NA
"Cook, Bryan",6006,206,31 7/8,8 1/2,NA,NA,DB,NA
"Corker, Yusuf",5114,203,31,9,NA,NA,DB,NA
"Cross, Nick",6001,212,31 1/2,9,37.0,"10'10""",DB,NA
"Hamilton, Kyle",6041,220,33,9 1/8,38.0,"10'11""",DB,NA
"Harvell-Peel, Kolby",5114,213,31 1/8,9 3/4,NA,NA,DB,NA
"Hill, Dax",6002,191,32 1/4,9 1/2,33.5,"10'1""",DB,NA
"Joseph, Kerby",6005,203,33,10 1/4,38.5,"10'3""",DB,NA
"Lake, Quentin",6011,201,31 1/4,9 1/8,NA,NA,DB,NA
"McKinley III, Verone",5105,198,30 5/8,9 1/8,35.0,"10'0""",DB,NA
"Monday, Smoke",6010,207,32 1/2,9 1/8,NA,"10'4""",DB,NA
"O’Neal, Leon",6004,204,31 5/8,10 1/4,35.0,10'5,DB,NA
"Pitre, Jalen",5110,198,30 5/8,9,35.0,NA,DB,NA
"Thomas, Juanyeh",6005,212,32 3/8,9 3/4,34.5,"10'2""",DB,NA
"Turner-Yell, Delarrin",5096,197,31 3/4,10,NA,"10'2""",DB,NA
"Woods, JT",6106,195,32 3/8,8 1/2,39.5,"10'8""",DB,NA
"Adomitis, Cal",6012,234,30 1/4,9 3/4,29.5,"8'11""",ST,NA
"Araiza, Matt",6011,200,30 1/2,9 1/2,32,"10'1""",PK,NA
"Brkic, Gabe",6010,201,32 1/4,9 1/4,NA,NA,PK,NA
"Camarda, Jake",6011,193,30 3/8,9 5/8,NA,NA,PK,NA
"Dicker, Cameron",6001,219,30 1/4,8 7/8,NA,NA,PK,NA
"Gill, Trenton",6032,220,31 1/4,9 1/4,NA,NA,PK,NA
"Hayes, Blake",6044,226,33 7/8,9 3/4,NA,NA,PK,NA
"Stout, Jordan",6032,209,31 3/4,9 3/8,NA,NA,PK,NA
"York, Cade",6006,206,31 5/8,8 3/4,NA,NA,PK,NA
QB,Jake Browning,6-1 7/8,211,32 1/2,9,29,9-4,Quarterback
QB,Ryan Finley,6-4,213,32 7/8,9 1/2,30.5,9-8,Quarterback
QB,Nick Fitzgerald,6-4 5/8,226,31 7/8,9 3/4,29.5,9-7,Quarterback
QB,Will Grier,6-2 1/2,217,31 1/2,9 3/8,34,9-4,Quarterback
QB,Dwayne Haskins,6-3 3/8,231,33 1/2,9 5/8,28.5,—,Quarterback
QB,Tyree Jackson,6-7,249,34 1/4,10 1/4,34.5,10-0,Quarterback
QB,Daniel Jones,6-5 1/8,221,32 1/2,9 3/4,33.5,10-0,Quarterback
QB,Drew Lock,6-3 3/4,228,32 1/2,9,31,9-4,Quarterback
QB,Trace McSorley,6-0 1/8,202,31,9 1/8,33,9-7,Quarterback
QB,Gardner Minshew,6-0 7/8,225,31 3/4,10 1/8,33.5,9-8,Quarterback
QB,Kyler Murray,5-10 1/8,207,28 1/2,9 1/2,—,—,Quarterback
QB,Brett Rypien,6-1 5/8,210,30 3/8,9,33,9-8,Quarterback
QB,Kyle Shurmur,6-4,230,32 3/4,8 7/8,29.5,8-10,Quarterback
QB,Easton Stick,6-1 1/4,224,32 1/8,9 1/4,33.5,9-10,Quarterback
QB,Jarrett Stidham,6-2 3/8,218,32,9 1/8,31,9-2,Quarterback
QB,Jordan Ta'amu,6-2 5/8,221,32 1/4,9 7/8,27.5,9-1,Quarterback
QB,Clayton Thorson,6-4,222,31 1/8,9 3/4,—,—,Quarterback
RB,Rodney Anderson,6-0 3/8,224,30 3/4,9 3/4,—,—,Running_Back
RB,Ryquell Armstead,5-11 1/4,220,30 5/8,9 1/8,30,9-6,Running_Back
RB,Alex Barnes,6-0 3/8,226,31,10,38.5,10-6,Running_Back
RB,Nick Brossette,5-11 1/8,209,30,8 5/8,35.5,9-10,Running_Back
RB,Miles Gaskin,5-9 1/4,205,29 1/2,8 3/4,35.5,9-10,Running_Back
RB,Damien Harris,5-10 1/8,216,30 3/4,9 3/4,37,10-1,Running_Back
RB,Darrell Henderson,5-8 3/8,208,31,8 5/8,33.5,10-1,Running_Back
RB,Karan Higdon,5-9 1/8,206,30 3/4,9 5/8,34,10-3,Running_Back
RB,Justice Hill,5-9 5/8,198,31 5/8,9 1/2,40,10-10,Running_Back
RB,Elijah Holyfield,5-10 3/8,217,30 3/8,9,29.5,9-10,Running_Back
RB,Travis Homer,5-10 3/8,201,31 1/2,10,39.5,10-10,Running_Back
RB,Alex Ingold,6-0 3/4,242,31 1/2,9 5/8,34,9-8,Running_Back
RB,Josh Jacobs,5-10,220,31 5/8,10 1/8,—,—,Running_Back
RB,Bryce Love,5-8 7/8,200,29 3/8,9 1/8,—,—,Running_Back
RB,Alexander Mattison,5-10 5/8,221,31,9 1/8,35,10-7,Running_Back
RB,David Montgomery,5-10 1/8,222,31 3/8,9 1/4,28.5,10-1,Running_Back
RB,Jalin Moore,5-10,212,32 3/8,9 1/4,—,—,Running_Back
RB,Qadree Ollison,6-0 5/8,228,31 1/2,9 5/8,29.5,9-6,Running_Back
RB,Tony Pollard,5-11 5/8,210,30,9 1/2,35,10-1,Running_Back
RB,Miles Sanders,5-10 5/8,211,30 5/8,9 1/4,36,10-4,Running_Back
RB,Jordan Scarlett,5-10 5/8,208,30 3/8,8 7/8,30,9-8,Running_Back
RB,LJ Scott,6-0 3/8,227,32 1/8,9 3/8,33,10-0,Running_Back
RB,Devin Singletary,5-7 1/2,203,28 7/8,8 1/2,35,9-9,Running_Back
RB,Benny Snell,5-10 3/8,224,31,9 3/8,29.5,9-11,Running_Back
RB,Mike Weber,5-9 5/8,211,29 3/4,9 3/8,33.5,—,Running_Back
RB,Dexter Williams,5-11,212,32 1/4,9 5/8,36,10-10,Running_Back
RB,James Williams,5-9 1/2,197,30 3/8,9 1/4,36.5,9-10,Running_Back
RB,Trayveon Williams,5-8 1/8,206,30 3/8,9 1/4,33,10-1,Running_Back
WR,JJ Arcega-Whiteside,6-2,225,33 1/4,9 1/2,—,—,Wide_Receiver
WR,Myles Boykin,6-3 3/4,220,33 1/2,9 7/8,43.5,11-8,Wide_Receiver
WR,Tyre Brady,6-2 7/8,211,33 5/8,9 3/4,32,9-9,Wide_Receiver
WR,A.J. Brown,6-0 1/2,226,32 7/8,9 3/4,36.5,10-0,Wide_Receiver
WR,Marquise Brown,5-9 3/8,166,30 1/2,9,—,—,Wide_Receiver
WR,Emmanuel Butler,6-3 1/8,217,33,10 1/8,36,9-7,Wide_Receiver
WR,Hakeem Butler,6-5 3/8,227,35 1/4,10 3/4,36,10-8,Wide_Receiver
WR,Parris Campbell,5-11 7/8,205,32 1/4,9 1/2,40,11-3,Wide_Receiver
WR,Jamal Custis,6-4 1/8,214,33 7/8,10 7/8,34.5,10-4,Wide_Receiver
WR,Felton Davis III,6-3 1/2,211,32 3/4,10 1/4,—,—,Wide_Receiver
WR,Ryan Davis,5-9 7/8,189,30 7/8,9 1/4,35,10-4,Wide_Receiver
WR,Johnnie Dixon,5-10 3/8,201,30 1/4,9 5/8,37.5,10-0,Wide_Receiver
WR,Greg Dortch,5-7 1/8,173,29 1/4,9 1/4,—,—,Wide_Receiver
WR,Keelan Doss,6-2 1/8,211,31 3/4,9 1/2,—,—,Wide_Receiver
WR,Ashton Dulin,6-1 3/8,215,33 3/8,9,38,10-1,Wide_Receiver
WR,Jovon Durante,5-11 1/8,160,31 1/8,8 3/4,31.5,10-0,Wide_Receiver
WR,Jazz Ferguson,6-4 5/8,227,34 1/4,9 1/4,37,10-3,Wide_Receiver
WR,Travis Fulgham,6-2 1/2,215,33 3/4,9 1/2,36.5,10-6,Wide_Receiver
WR,Terry Godwin,5-11 3/8,184,30,9 3/8,36.5,9-9,Wide_Receiver
WR,Emanuel Hall,6-1 7/8,201,33 1/4,9 3/4,43.5,11-9,Wide_Receiver
WR,Mecole Hardman,5-10 1/4,187,30 1/4,9,36.5,9-11,Wide_Receiver
WR,Kelvin Harmon,6-2 1/2,221,32 1/2,9 1/2,32.5,9-9,Wide_Receiver
WR,N'Keal Harry,6-2 3/8,228,33,9 1/2,38.5,10-2,Wide_Receiver
WR,Lil'Jordan Humphrey,6-3 5/8,210,32 3/4,9 1/2,33.5,9-11,Wide_Receiver
WR,Jalen Hurd,6-4 3/4,226,32,10 1/4,—,—,Wide_Receiver
WR,Andy Isabella,5-8 3/4,188,29 3/4,8 3/8,36.5,10-1,Wide_Receiver
WR,Gary Jennings Jr.,6-1,214,32 1/2,9 5/8,37,10-7,Wide_Receiver
WR,Anthony Johnson,6-1 7/8,209,31 3/8,9 3/8,32.5,10-2,Wide_Receiver
WR,Diontae Johnson,5-10 1/2,183,30 3/4,9,33.5,10-3,Wide_Receiver
WR,KeeSean Johnson,6-1 1/8,201,32,9 1/2,30,9-9,Wide_Receiver
WR,Olabisi Johnson,6-0 1/2,204,30 3/4,10 3/8,38,10-4,Wide_Receiver
WR,DaMarkus Lodge,6-1 7/8,202,33 1/8,9 1/2,33.5,9-11,Wide_Receiver
WR,Terry McLaurin,6-0 1/8,208,31 1/2,9 1/8,37.5,10-5,Wide_Receiver
WR,D.K. Metcalf,6-3 3/8,228,34 7/8,9 7/8,40.5,11-2,Wide_Receiver
WR,Jakobi Meyers,6-1 5/8,203,32,9 1/2,37,9-10,Wide_Receiver
WR,Dillon Mitchell,6-1 1/4,197,31 1/2,9,36.5,10-2,Wide_Receiver
WR,Stanley Morgan Jr.,6-0,202,32 3/8,9 7/8,38.5,10-5,Wide_Receiver
WR,Nyqwan Murray,5-10 1/4,191,31 1/8,9 3/8,34,9-5,Wide_Receiver
WR,Hunter Renfrow,5-10 1/4,184,29 1/8,7 7/8,35,9-8,Wide_Receiver
WR,Riley Ridley,6-1 1/4,199,32 5/8,10 1/4,30.5,10-4,Wide_Receiver
WR,Deebo Samuel,5-11 1/4,214,31 3/8,10,39,10-2,Wide_Receiver
WR,David Sills V,6-3 1/4,211,32,9,37.5,9-9,Wide_Receiver
WR,Darius Slayton,6-1,190,32 3/4,10,40.5,11-3,Wide_Receiver
WR,Jaylen Smith,6-2 1/4,219,33 7/8,9 1/2,34.5,10-2,Wide_Receiver
WR,Cody Thompson,6-1 1/2,205,31,9 3/8,38.5,9-11,Wide_Receiver
WR,Jamarius Way,6-3 1/2,215,33,10 1/4,32.5,9-11,Wide_Receiver
WR,Alex Wesley,5-11 7/8,190,31 1/4,9,38.5,10-5,Wide_Receiver
WR,Antoine Wesley,6-4 1/8,206,34,9 3/4,37,9-9,Wide_Receiver
TE,Kendall Blanton,6-6 1/4,262,33 3/4,10 3/8,31,9-5,Tight_End
TE,Keenen Brown,6-2 1/2,250,34 1/2,9 7/8,33,9-9,Tight_End
TE,C.J. Conrad,6-4 1/2,249,31,9 1/4,—,—,Tight_End
TE,Noah Fant,6-4 1/8,249,33 1/2,9 3/4,39.5,10-7,Tight_End
TE,Zach Gentry,6-8 1/8,265,34 1/8,9 1/2,29.5,9-2,Tight_End
TE,Daniel Helm,6-4 1/8,249,33 3/8,9 1/2,—,—,Tight_End
TE,T.J. Hockenson,6-4 3/4,251,32 1/4,9 1/2,37.5,10-3,Tight_End
TE,Dawson Knox,6-4 3/8,254,33 1/2,9 3/4,34.5,—,Tight_End
TE,Alize Mack,6-4,249,33 3/4,9 3/8,36,10-0,Tight_End
TE,Foster Moreau,6-4 1/8,253,33 1/2,9 5/8,36.5,10-1,Tight_End
TE,Isaac Nauta,6-3 1/4,244,31 7/8,9 3/8,28,—,Tight_End
TE,Josh Oliver,6-4 5/8,249,33 1/2,10 3/4,34,9-9,Tight_End
TE,Dax Raymond,6-4 3/4,255,32 5/8,10 1/4,32,9-1,Tight_End
TE,Drew Sample,6-4 3/4,255,33 3/8,9 5/8,33.5,9-7,Tight_End
TE,Irv Smith Jr.,6-2 3/8,242,31 1/2,9 1/2,32.5,9-2,Tight_End
TE,Kaden Smith,6-5,255,32 1/4,9 5/8,32,9-0,Tight_End
TE,Jace Sternberger,6-4,251,32 1/8,9 3/4,31.5,9-5,Tight_End
TE,Tommy Sweeney,6-4 1/2,251,32 3/4,9 3/4,—,—,Tight_End
TE,Kahale Warring,6-5 1/8,252,32 3/4,9 3/4,36.5,10-2,Tight_End
TE,Trevon Wesco,6-3 1/2,267,34 3/4,9 1/2,31,9-9,Tight_End
TE,Caleb Wilson,6-4 1/4,240,33,9 3/4,29,9-5,Tight_End
OL,Paul Adams,6-5 7/8,317,33 1/2,10,27,8-7,Offensive_Line
OL,Zack Bailey,6-5 1/8,299,33,9 5/8,28,8-7,Offensive_Line
OL,Alex Bars,6-5 7/8,312,32 3/4,9 3/8,—,—,Offensive_Line
OL,Jackson Barton,6-7 1/4,310,34,9 1/4,27,9-1,Offensive_Line
OL,Ryan Bates,6-4 1/2,306,32 1/2,9 1/2,27,8-6,Offensive_Line
OL,Beau Benzschawel,6-6 1/4,309,33 3/8,9 5/8,—,—,Offensive_Line
OL,Garrett Bradbury,6-2 7/8,306,31 3/4,10 1/2,31,8-8,Offensive_Line
OL,Yodny Cajuste,6-4 7/8,312,34,10,—,—,Offensive_Line
OL,Shaq Calhoun,6-2 1/2,310,33 1/8,10,28.5,8-9,Offensive_Line
OL,Dennis Daley,6-5,317,33 3/8,9 1/2,26.5,8-7,Offensive_Line
OL,Nate Davis,6-3 1/4,316,33 1/8,9 1/2,26,8-11,Offensive_Line
OL,Michael Deiter,6-5 1/8,309,33 1/8,10 3/4,28,8-9,Offensive_Line
OL,Andre Dillard,6-5,315,33 1/2,10,29,9-10,Offensive_Line
OL,Chuma Edoga,6-3 1/2,308,34 3/4,9 5/8,—,—,Offensive_Line
OL,David Edwards,6-6 1/4,308,33 3/8,9 3/4,25.5,8-3,Offensive_Line
OL,Bobby Evans,6-4 3/8,312,34 3/4,9 7/8,—,—,Offensive_Line
OL,Cody Ford,6-3 3/4,329,34,9 3/4,28.5,8-8,Offensive_Line
OL,Hjalte Froholdt,6-4 5/8,306,31 1/4,9 3/4,27.5,8-9,Offensive_Line
OL,Lamont Gaillard,6-2 5/8,305,33 1/2,10 3/8,—,—,Offensive_Line
OL,Derwin Gray,6-4 1/2,320,34 3/8,9 5/8,—,7-6,Offensive_Line
OL,Donnell Greene,6-5 1/4,335,35 1/4,9 1/2,—,—,Offensive_Line
OL,Ethan Greenidge,6-4 3/8,327,34 3/4,10 3/8,—,—,Offensive_Line
OL,Phil Haynes,6-3 5/8,322,33 1/2,9 1/2,31,9-0,Offensive_Line
OL,Nate Herbig,6-3 1/2,335,32 3/8,10 1/8,24,7-6,Offensive_Line
OL,Tytus Howard,6-5,322,34,10 5/8,29.5,8-7,Offensive_Line
OL,Mitch Hyatt,6-5 3/8,303,34 1/8,10 1/4,25.5,8-6,Offensive_Line
OL,Martez Ivey,6-5,315,36 1/4,10 3/8,—,—,Offensive_Line
OL,Andre James,6-4 1/8,299,32,10,28,8-9,Offensive_Line
OL,Elgton Jenkins,6-4 1/2,310,34,10 1/4,28,9-1,Offensive_Line
OL,Devon Johnson,6-7 1/4,338,34 3/4,9 1/2,27.5,7-5,Offensive_Line
OL,Fred Johnson,6-7 1/8,326,34,10 5/8,—,—,Offensive_Line
OL,Tyler Jones,6-3,306,33 3/4,9 3/4,31.5,9-3,Offensive_Line
OL,Mike Jordan,6-5 7/8,312,34 1/4,10,32.5,9-8,Offensive_Line
OL,Brandon Knight,6-3 3/4,314,34,10,—,—,Offensive_Line
OL,Chris Lindstrom,6-3 3/4,308,34 1/8,9 1/2,30.5,9-9,Offensive_Line
OL,Greg Little,6-5 1/4,310,35 1/4,10 1/4,25,9-5,Offensive_Line
OL,Erik McCoy,6-3 7/8,303,33,9 5/8,31,8-11,Offensive_Line
OL,Kaleb McGary,6-7 1/8,317,32 7/8,10 1/8,33.5,9-3,Offensive_Line
OL,Connor McGovern,6-5 3/8,308,34 1/8,9 7/8,—,9-4,Offensive_Line
OL,Joshua Miles,6-5,314,35 5/8,10 3/4,36,9-1,Offensive_Line
OL,Yosh Nijman,6-6 7/8,324,34,10,—,9-6,Offensive_Line
OL,Iosua Opeta,6-4 1/4,301,33 1/4,9 7/8,33,9-4,Offensive_Line
OL,Javon Patterson,6-2 7/8,307,32 1/2,9,27.5,8-2,Offensive_Line
OL,Ross Pierschbacher,6-3 5/8,307,32 1/8,10,22.5,—,Offensive_Line
OL,Trey Pipkins,6-6 1/8,309,33 7/8,9 5/8,33.5,9-6,Offensive_Line
OL,Ryan Pope,6-7,320,34 1/4,11 1/8,—,—,Offensive_Line
OL,Ben Powers,6-4,307,33 3/4,9 7/8,—,—,Offensive_Line
OL,Isaiah Prince,6-6 1/2,305,35 1/2,10 1/8,27,9-7,Offensive_Line
OL,Dalton Risner,6-4 3/4,312,34,10 1/4,28.5,9-2,Offensive_Line
OL,Tyler Roemer,6-6 3/8,312,33 7/8,10 1/4,30.5,9-0,Offensive_Line
OL,Dru Samia,6-4 3/4,305,33,10 1/8,27.5,8-5,Offensive_Line
OL,Max Scharping,6-5 7/8,327,33 5/8,10,28,9-0,Offensive_Line
OL,William Sweet,6-6,313,34 3/8,10 1/8,30.5,9-3,Offensive_Line
OL,Trevon Tate,6-2 1/2,293,32 3/8,9 5/8,—,—,Offensive_Line
OL,Jawaan Taylor,6-5,312,35 1/8,10,—,—,Offensive_Line
OL,Oli Udoh,6-5 1/2,323,35 3/8,10,28.5,8-9,Offensive_Line
OL,Jonah Williams,6-4 1/2,302,33 5/8,10 1/8,28,8-4,Offensive_Line
DL,Zach Allen,6-4 1/8,281,34 3/4,10 1/8,32,9-4,Defensive_Line
DL,Ben Banogu,6-3 1/2,250,33 5/8,9,40,11-2,Defensive_Line
DL,Terry Beckner Jr.,6-3 5/8,296,32 1/4,8 5/8,24.5,8-2,Defensive_Line
DL,Nick Bosa,6-3 3/4,266,33,10 3/4,33.5,9-8,Defensive_Line
DL,Jordan Brailford,6-2 5/8,252,32 1/2,9 1/8,37.5,10-6,Defensive_Line
DL,Austin Bryant,6-3 7/8,271,34 5/8,9 5/8,—,—,Defensive_Line
DL,Isaiah Buggs,6-3 1/8,306,31 1/4,9 1/4,24.5,8-0,Defensive_Line
DL,Brian Burns,6-4 3/4,249,33 7/8,10,36,10-9,Defensive_Line
DL,Malik Carney,6-2,251,33 3/8,9 7/8,33,9-5,Defensive_Line
DL,Demarcus Christmas,6-3 3/8,294,32 3/4,9 1/8,25.5,8-5,Defensive_Line
DL,L.J. Collier,6-2 1/4,283,34,10,30,9-10,Defensive_Line
DL,John Cominsky,6-5 1/4,286,33 1/2,9 3/4,33.5,9-8,Defensive_Line
DL,Byron Cowart,6-3,298,33 3/4,10,30,9-3,Defensive_Line
DL,Maxx Crosby,6-4 7/8,255,32 7/8,9 3/4,36,10-2,Defensive_Line
DL,Jamal Davis,6-3 1/8,243,34 1/4,9 1/4,39,10-2,Defensive_Line
DL,Clelin Ferrell,6-4 3/8,264,34 1/8,10 1/2,—,—,Defensive_Line
