#,Name,Height,Weight,Arm,Hand,Vertical,Broad,Position_Group,Converted_Height,Converted_Arm,Converted_Hand,Converted_Vertical,Converted_Broad
DL,"Ott, Drew",6044,273,32 1/4,9 5/8,NA,NA,DL,76.5,,,NA,NA
DL,"Pettway, DJ",6021,265,32 1/4,9 1/2,"28""","9'0""",DL,74.125,,,28,108
DL,"Rankins, Sheldon",6011,299,33 3/8,9 3/8,"34.5""","9'10""",DL,73.125,,,34.5,118
DL,"Reader, DJ",6025,327,33 5/8,9 1/2,"29.5""","8'3""",DL,74.625,,,29.5,99
DL,"Reed, Jarran",6027,307,33 3/8,10 1/2,"31""","8'8""",DL,74.875,,,31,104
DL,"Ridgeway, Hassan",6033,303,33,9 3/8,"32""","9'5""",DL,75.375,,,32,113
DL,"Robinson, A'Shawn",6035,307,34 1/2,10 1/2,"26""","8'10""",DL,75.625,,,26,106
DL,"Sigler, Devaunte",6034,298,33 3/4,9 7/8,"25""",NA,DL,75.5,,,25,NA
DL,"Spence, Noah",6024,251,33,10 3/4,"35""","10'1""",DL,74.5,,,35,121
DL,"Tapper, Charles",6025,271,34 3/8,11 1/2,"34""","9'11""",DL,74.625,,,34,119
DL,"Thomas, Lawrence",6034,286,33 1/4,10 1/8,"35""","9'5""",DL,75.5,,,35,113
DL,"Thompson, Ron",6030,253,32 1/4,9 3/8,NA,NA,DL,75,,,NA,NA
DL,"Valentine, Vincent",6035,329,33 1/8,9 5/8,"29""","9'2""",DL,75.625,,,29,110
DL,"Ward, Jihad",6051,297,33 7/8,9 3/8,"25""","9'3""",DL,77.125,,,25,111
DL,"Washington, Adolphus",6033,301,34 1/2,9 7/8,"27""","8'3""",DL,75.375,,,27,99
DL,"Woods, Antwaun",6000,318,31,9 5/8,NA,NA,DL,72,,,NA,NA
DL,"Wujciak, Connor",6024,291,33 1/4,10,"34.5""","9'9""",DL,74.5,,,34.5,117
DL,"Zettel, Anthony",6037,277,31 1/8,9 1/2,"30.5""","9'1""",DL,75.875,,,30.5,109
LB,"Alexander, Dominique",6002,232,32 1/4,9,"28.5""","8'8""",LB,72.25,,,28.5,104
LB,"Bond, Devante",6011,235,32 3/8,9 1/4,"37.5""","10'1""",LB,73.125,,,37.5,121
LB,"Brothers, Kentrell",6003,245,30 3/4,9 3/4,"28.5""","9'2""",LB,72.375,,,28.5,110
LB,"Brown, Beniquez",6006,229,31 3/8,9 1/8,"31""","9'2""",LB,72.75,,,31,110
LB,"Campbell, De'Vondre",6035,232,33 5/8,9 5/8,"34""","9'8""",LB,75.625,,,34,116
LB,"Cravens, Su'a",6006,226,32 1/8,9 1/2,"27""","9'6""",LB,72.75,,,27,114
LB,"Daniels, Steven",5114,243,32 5/8,10,"32""","9'4""",LB,71.5,,,32,112
LB,"Fackrell, Kyler",6050,245,33 1/4,10 1/8,"34.5""","10'1""",LB,77,,,34.5,121
LB,"Feeney, Travis",6035,230,33 3/8,9 1/2,"40""","10'10""",LB,75.625,,,40,130
LB,"Floyd, Leonard",6055,244,33 1/8,10 1/8,"39.5""","10'7""",LB,77.625,,,39.5,127
LB,"Forrest, Josh",6031,249,33 1/2,9 1/2,"30.5""","9'10""",LB,75.125,,,30.5,118
LB,"Frost, Kris",6021,240,32 1/2,10 1/2,"29""","9'5""",LB,74.125,,,29,113
LB,"Goodson, BJ",6010,242,33 1/4,10,"34.5""","9'10""",LB,73,,,34.5,118
LB,"Jack, Myles",6010,245,33 5/8,10 1/4,NA,NA,LB,73,,,NA,NA
LB,"Jenkins, Jordan",6025,259,34 1/4,11 1/4,"36.5""","10'1""",LB,74.625,,,36.5,121
LB,"Johnson, CJ",6013,234,32 3/4,8 7/8,NA,NA,LB,73.375,,,NA,NA
LB,"Jones, Deion",6007,222,32 3/8,9 1/4,"33""",10',LB,72.875,,,33,120
LB,"Kirby, Raphael",6002,236,31,9 7/8,NA,NA,LB,72.25,,,NA,NA
LB,"Kwiatkoski, Nick",6020,243,31 3/4,9 1/2,"32""",10',LB,74,,,32,120
LB,"Lee, Darron",6006,232,33 1/4,9 3/4,"35.5""","11'1""",LB,72.75,,,35.5,133
LB,"Littleton, Cory",6031,238,33 3/8,10 1/8,"29.5""","9'6""",LB,75.125,,,29.5,114
LB,"Longa, Steve",6005,241,32,9 3/4,"32.5""","9'8""",LB,72.625,,,32.5,116
LB,"Maggitt, Curt",6032,247,33,10 1/8,NA,NA,LB,75.25,,,NA,NA
LB,"Martinez, Blake",6015,237,31 5/8,10 7/8,"28.5""","9'5""",LB,73.625,,,28.5,113
LB,"Matakevich, Tyler",6000,238,31 1/4,9 1/2,"31""","9'4""",LB,72,,,31,112
