Position.x,Name,Weight.x,Converted_Height,Converted_Arm,Converted_Hand,Converted_Vertical,Converted_Broad,Source_File,Link,Height,Weight.y,Dash40,Shuttle20,Vertical,Position.y,SPARQ,Power_Throw
DB,Trae Waynes,186,72.125,31,8.25,38,122,84,https://www.espn.com/college-sports/football/recruiting/player/_/id/105413/trae-waynes,71,158,4.33,4.45,33,s_,NA,NA
DB,P.J. Williams,194,72,31,8.625,40,132,85,https://www.espn.com/college-sports/football/recruiting/player/_/id/109442/pj-williams,72,180,4.46,4.31,39.6,s_,NA,NA
QB,Jeff Driskel,234,76,33.5,9.75,32,122,63,https://www.espn.com/college-sports/football/recruiting/player/_/id/84800/jeff-driskel,76,224,4.54,4.34,26.5,qb,NA,NA
QB,Jeff Driskel,234,76,33.5,9.75,32,122,70,https://www.espn.com/college-sports/football/recruiting/player/_/id/84800/jeff-driskel,76,224,4.54,4.34,26.5,qb,NA,NA
QB,Christian Hackenberg,223,76.375,32,9,31,114,72,https://www.espn.com/college-sports/football/recruiting/player/_/id/142578/christian-hackenberg,76,212,4.84,4.34,30.1,qb,NA,NA
RB,Peyton Barber,228,70,30.25,9.375,32.5,111,79,https://www.espn.com/college-sports/football/recruiting/player/_/id/134494/peyton-barber,70,210,4.71,4.25,30.9,rb,NA,NA
RB,Kenyan Drake,210,72.625,31.75,9.75,34.5,123,78,https://www.espn.com/college-sports/football/recruiting/player/_/id/110650/kenyan-drake,73,195,4.52,4.18,38.4,rb,NA,NA
RB,Derrick Henry,247,74.5,33,8.75,37,130,3,https://www.espn.com/college-sports/football/recruiting/player/_/id/108717/derrick-henry,75,243,4.72,4.47,37.5,at,NA,NA
RB,Keith Marshall,219,71.375,31.625,9.375,30.5,NA,78,https://www.espn.com/college-sports/football/recruiting/player/_/id/83941/keith-marshall,71,190,4.43,NA,33.8,rb,NA,NA
RB,Kelvin Taylor,207,70.25,29.25,8.25,32,113,79,https://www.espn.com/college-sports/football/recruiting/player/_/id/90971/kelvin-taylor,71,216,4.63,4.59,31,rb,NA,NA
RB,DeAndre Washington,204,68.25,30,9,34.5,118,1,https://www.espn.com/college-sports/football/recruiting/player/_/id/98606/deandre-washington,68,190,4.61,4.19,34.5,at,NA,NA
RB,Brandon Wilds,220,72.75,32,10.25,36.5,118,77,https://www.espn.com/college-sports/football/recruiting/player/_/id/84022/brandon-wilds,73,220,4.64,4.31,34,rb,NA,NA
WO,Bralon Addison,197,69.25,29.5,9.125,34.5,116,103,https://www.espn.com/college-sports/football/recruiting/player/_/id/110721/bralon-addison,70,185,4.63,3.93,31.2,wr,NA,NA
WO,Chris Brown,194,74,32.25,9,NA,NA,89,https://www.espn.com/college-sports/football/recruiting/player/_/id/197330/chris-brown,71,183,4.6,4.47,35.7,s_,NA,NA
WO,Chris Brown,194,74,32.25,9,NA,NA,103,https://www.espn.com/college-sports/football/recruiting/player/_/id/128181/chris-brown,74,170,4.44,4.48,33.5,wr,NA,NA
WO,Corey Coleman,194,70.625,30.25,9,40.5,129,2,https://www.espn.com/college-sports/football/recruiting/player/_/id/110286/corey-coleman,71,175,4.41,3.8,37.6,at,NA,NA
WO,Pharoh Cooper,203,71.125,32.25,9.125,31,115,3,https://www.espn.com/college-sports/football/recruiting/player/_/id/150650/pharoh-cooper,71,181,4.75,4.35,30.2,at,76.23,NA
WO,Cayleb Jones,209,74.625,32.75,9.25,33.5,NA,103,https://www.espn.com/college-sports/football/recruiting/player/_/id/98598/cayleb-jones,74,195,4.69,4.13,29,wr,NA,NA
WO,Kenny Lawler,203,74.5,33.375,10.5,31,111,103,https://www.espn.com/college-sports/football/recruiting/player/_/id/111661/kenny-lawler,75,175,4.75,4.39,30.7,wr,NA,NA
WO,Kolby Listenbee,197,72,31.375,8.25,35.5,129,2,https://www.espn.com/college-sports/football/recruiting/player/_/id/93685/kolby-listenbee,72,166,4.44,4.11,36.1,at,NA,NA
WO,Ricardo Louis,215,74,32.375,9.5,38,132,2,https://www.espn.com/college-sports/football/recruiting/player/_/id/106054/ricardo-louis,74,200,4.55,4.25,40.1,at,NA,NA
WO,Jalin Marshall,200,70.5,31.5,9.625,37.5,125,104,https://www.espn.com/college-sports/football/recruiting/player/_/id/140432/jalin-marshall,71,196,4.66,4.13,38.2,wr,NA,NA
TE,David Grinnage,248,77.25,34.5,10.125,29.5,106,96,https://www.espn.com/college-sports/football/recruiting/player/_/id/129091/david-grinnage,77,238,5.18,5,28.7,ti,NA,NA
OL,Vadal Alexander,326,77.25,35.25,10.5,24,95,43,https://www.espn.com/college-sports/football/recruiting/player/_/id/116521/vadal-alexander,77,320,5.76,4.85,21.6,og,NA,NA
OL,Joshua Garnett,312,76.375,33.875,10.125,29,99,43,https://www.espn.com/college-sports/football/recruiting/player/_/id/112408/joshua-garnett,77,285,5.38,4.68,28,og,NA,NA
OL,Tyler Johnstone,301,77.5,34,10.375,30.5,104,56,https://www.espn.com/college-sports/football/recruiting/player/_/id/103898/tyler-johnstone,77,245,5.17,4.47,30.5,ot,NA,NA
OL,Ryan Kelly,311,76,33.625,9.625,30,103,15,https://www.espn.com/college-sports/football/recruiting/player/_/id/88709/ryan-kelly,76,264,5.05,4.78,26.5,ce,NA,NA
OL,Denver Kirkland,335,76.5,34.625,9.625,22.5,94,58,https://www.espn.com/college-sports/football/recruiting/player/_/id/129810/denver-kirkland,76,333,5.63,5.15,21.8,ot,NA,NA
OL,Kyle Murphy,305,78.375,33.5,9.75,NA,NA,57,https://www.espn.com/college-sports/football/recruiting/player/_/id/111645/kyle-murphy,78,270,5.31,4.52,28.3,ot,NA,NA
OL,Alex Redmond,294,76.75,33.25,10.5,28,111,58,https://www.espn.com/college-sports/football/recruiting/player/_/id/159848/alex-redmond,77,302,5.68,5.09,23.1,ot,NA,NA
OL,Isaac Seumalo,303,75.875,33,9.875,26,105,43,https://www.espn.com/college-sports/football/recruiting/player/_/id/112504/isaac-seumalo,75,280,5.28,4.61,27.6,og,NA,NA
OL,Laremy Tunsil,310,77,34.25,10,NA,NA,58,https://www.espn.com/college-sports/football/recruiting/player/_/id/139013/laremy-tunsil,78,295,5.12,4.61,27.7,ot,NA,NA
DL,Sheldon Day,293,72.625,32.625,9.625,30,102,29,https://www.espn.com/college-sports/football/recruiting/player/_/id/119381/sheldon-day,74,280,5.36,4.73,25.3,dt,NA,NA
DL,Darius Latham,311,76.25,34.75,10,29,100,30,https://www.espn.com/college-sports/football/recruiting/player/_/id/149779/darius-latham,77,291,5.25,4.91,20.5,dt,NA,NA
DL,Nile Lawrence-Stample,320,73,32.75,9.875,NA,NA,28,https://www.espn.com/college-sports/football/recruiting/player/_/id/104770/nile-lawrence-stample,73,297,4.9,5.04,NA,dt,NA,NA
DL,Robert Nkemdiche,294,75.5,33.875,10.375,35,116,23,https://www.espn.com/college-sports/football/recruiting/player/_/id/126673/robert-nkemdiche,77,265,NA,NA,32,dl,NA,NA
DL,Romeo Okwara,265,76.625,34.125,10.125,33,120,22,https://www.espn.com/college-sports/football/recruiting/player/_/id/133734/romeo-okwara,76,223,5.05,4.69,30.1,dl,NA,NA
DL,Hassan Ridgeway,303,75.375,33,9.375,32,113,22,https://www.espn.com/college-sports/football/recruiting/player/_/id/120893/hassan-ridgeway,76,248,4.82,4.56,34.3,dl,NA,NA
DL,A'Shawn Robinson,307,75.625,34.5,10.5,26,106,30,https://www.espn.com/college-sports/football/recruiting/player/_/id/138708/ashawn-robinson,77,304,5.13,4.62,28.4,dt,NA,NA
DL,Ron Thompson,253,75,32.25,9.375,NA,NA,96,https://www.espn.com/college-sports/football/recruiting/player/_/id/127518/ron-thompson,76,220,5.27,4.51,25.4,ti,NA,NA
DL,Adolphus Washington,301,75.375,34.5,9.875,27,99,22,https://www.espn.com/college-sports/football/recruiting/player/_/id/112624/adolphus-washington,76,251,4.9,4.57,24.6,dl,NA,NA
LB,Jordan Jenkins,259,74.625,34.25,11.25,36.5,121,22,https://www.espn.com/college-sports/football/recruiting/player/_/id/106946/jordan-jenkins,75,245,4.67,4.41,33,dl,NA,NA
